.pl 16959
CisloVydejky;DatumVydeje;CisloDodavatele;NazevDodavatele;Celkem0;Celkem5;Celkem23;Upozorneni
--DATA--
00090$;737802$;00030$;Henkel CR s.r.o. Praha$;0.00$;0.00$;4318.54$; 
00091$;737802$;00858$;Diversey Èeská republika s.r.o$;0.00$;0.00$;29321.70$; 
00092$;737802$;00740$;SENEKA Ústí spol.s.r.o.$;0.00$;0.00$;98847.96$; 
00093$;737802$;00153$;Mapa spontex Volf s.r.o.$;0.00$;0.00$;90767.36$; 
00094$;737803$;00002$;Kartacovny a.s. Pelhrimov$;0.00$;0.00$;30290.28$; 
00095$;737803$;00383$;Sarantis Czech Republic,s.r.o.$;0.00$;0.00$;6290.48$; 
00096$;737803$;00086$;ZVG$;0.00$;0.00$;17100.00$; 
00097$;737803$;01104$;Luboš Krytináø - Elektroservis$;0.00$;0.00$;11250.00$; 
00098$;737803$;00079$;KARTÁÈOVNY spol. s r.o.$;0.00$;0.00$;6752.20$; 
00099$;737803$;00092$;UNILEVER ÈR, spol. s r.o.$;0.00$;0.00$;22122.00$; 
00100$;737803$;00255$;Freudenberg PPD k.s.$;0.00$;0.00$;11967.35$; 
00101$;737803$;01021$;Madel$;0.00$;0.00$;990.68$; 
00102$;737803$;00253$;Colgate - Palmolive$;0.00$;0.00$;1015.44$; 
00103$;737803$;00021$;Benckiser s.r.o. Praha$;0.00$;0.00$;2971.80$; 
00104$;737803$;00038$;TATRACHEMA CZ spol.s.r.o.$;0.00$;0.00$;11286.58$; 
00105$;737803$;00228$;OMA CZ, a.s. Straz p.R.$;0.00$;0.00$;3369.88$; 
00106$;737803$;00324$;SG-spol.s r.o$;0.00$;0.00$;2640.00$; 
00107$;737803$;00092$;UNILEVER ÈR, spol. s r.o.$;0.00$;0.00$;18507.60$; 
00108$;737803$;00245$;Lipa velkoobchod papirem s.r.o.$;0.00$;0.00$;4659.14$; 
00109$;737803$;00024$;Druchema,družstvo pro chem.výrobu$;0.00$;0.00$;10648.16$; 
00110$;737804$;00048$;Solira Company s.r.o.$;0.00$;0.00$;21929.49$; 
